Feature1,Feature2,Feature3
ATSc11_3,MATSEA1_2,fr_Al_COO
ATSc11_3,MATSEA1_2,fr_bicyclic
ATSc11_3,MATSEA1_2,getawayHATSEn6_2
ATSc11_3,MATSEA1_2,getawayHATSIP2_3
ATSc11_3,MATSEA1_2,getawayHATSIP4_3
ATSc11_3,MATSEA1_2,getawayHATSV8_2
ATSc11_3,MATSEA1_2,getawayHATSc13_3
ATSc11_3,MATSEA1_2,getawayHATSm8_1
ATSc11_3,MATSEA1_2,getawayHTc_1
ATSc11_3,MATSEA1_2,getawayHV1_2
ATSc11_3,MATSEA1_2,getawayHV3_3
ATSc11_3,MATSEA1_2,getawayHV4_2
ATSc11_3,MATSEA1_2,getawayHm7_3
ATSc11_3,MATSEA1_2,getawayREn1_7
ATSc11_3,MATSEA1_2,getawayRmaxP7_2
ATSc11_3,MATSEA1_2,k3_2
ATSc11_3,MATSEA1_2,k_1
ATSc11_3,MATSEA1_2,rho_1
ATSc11_3,MATSEA1_2,rho_2
ATSc11_3,MATSP11_6,MATSP15_4
ATSc11_3,MATSP11_6,MATSc25_1
ATSc11_3,MATSP11_6,MATSm11_1
ATSc11_3,MATSP11_6,MATSm16_6
ATSc11_3,MATSP11_6,MoRSEV27_3
ATSc11_3,MATSP11_6,MoRSEc2_2
ATSc11_3,MATSP11_6,MoRSEm20_1
ATSc11_3,MATSP11_6,MoRSEm7_7
ATSc11_3,MATSP11_6,MoRSEu23_7
ATSc11_3,MATSP11_6,MoRSEu29_1
ATSc11_3,MATSP11_6,MoRSEu4_7
ATSc11_3,MATSP11_6,MoRSEu5_1
ATSc11_3,MATSP11_6,MolWt
ATSc11_3,MATSP11_6,PBFscore_1
ATSc11_3,MATSP11_6,PEOE_VSA5
ATSc11_3,MATSP11_6,PNSA3_1
ATSc11_3,MATSP11_6,RDFc14_6
ATSc11_3,MATSP11_6,RDFc17_4
ATSc11_3,MATSP11_6,RDFc5_1
ATSc11_3,MATSP11_6,VSA_EState8
ATSc11_3,MATSP11_6,WHIM_P3c_2
ATSc11_3,MATSP11_6,c_3
ATSc11_3,MATSP11_6,fr_Al_COO
ATSc11_3,MATSP11_6,fr_bicyclic
ATSc11_3,MATSP11_6,getawayHATSEn6_2
ATSc11_3,MATSP11_6,getawayHATSIP2_3
ATSc11_3,MATSP11_6,getawayHATSIP4_3
ATSc11_3,MATSP11_6,getawayHATSV8_2
ATSc11_3,MATSP11_6,getawayHATSc13_3
ATSc11_3,MATSP11_6,getawayHATSm8_1
ATSc11_3,MATSP11_6,getawayHTc_1
ATSc11_3,MATSP11_6,getawayHV1_2
ATSc11_3,MATSP11_6,getawayHV3_3
ATSc11_3,MATSP11_6,getawayHV4_2
ATSc11_3,MATSP11_6,getawayHm7_3
ATSc11_3,MATSP11_6,getawayREn1_7
ATSc11_3,MATSP11_6,getawayRmaxP7_2
ATSc11_3,MATSP11_6,k3_2
ATSc11_3,MATSP11_6,k_1
ATSc11_3,MATSP11_6,rho_1
ATSc11_3,MATSP11_6,rho_2
ATSc11_3,MATSP15_4,MATSc25_1
ATSc11_3,MATSP15_4,MATSm11_1
ATSc11_3,MATSP15_4,MATSm16_6
ATSc11_3,MATSP15_4,MoRSEV27_3
ATSc11_3,MATSP15_4,MoRSEc2_2
ATSc11_3,MATSP15_4,MoRSEm20_1
ATSc11_3,MATSP15_4,MoRSEm7_7
ATSc11_3,MATSP15_4,MoRSEu23_7
ATSc11_3,MATSP15_4,MoRSEu29_1
ATSc11_3,MATSP15_4,MoRSEu4_7
ATSc11_3,MATSP15_4,MoRSEu5_1
ATSc11_3,MATSP15_4,MolWt
ATSc11_3,MATSP15_4,PBFscore_1
ATSc11_3,MATSP15_4,PEOE_VSA5
ATSc11_3,MATSP15_4,PNSA3_1
ATSc11_3,MATSP15_4,RDFc14_6
ATSc11_3,MATSP15_4,RDFc17_4
ATSc11_3,MATSP15_4,RDFc5_1
ATSc11_3,MATSP15_4,VSA_EState8
ATSc11_3,MATSP15_4,WHIM_P3c_2
ATSc11_3,MATSP15_4,c_3
ATSc11_3,MATSP15_4,fr_Al_COO
ATSc11_3,MATSP15_4,fr_bicyclic
ATSc11_3,MATSP15_4,getawayHATSEn6_2
ATSc11_3,MATSP15_4,getawayHATSIP2_3
ATSc11_3,MATSP15_4,getawayHATSIP4_3
ATSc11_3,MATSP15_4,getawayHATSV8_2
ATSc11_3,MATSP15_4,getawayHATSc13_3
ATSc11_3,MATSP15_4,getawayHATSm8_1
ATSc11_3,MATSP15_4,getawayHTc_1
ATSc11_3,MATSP15_4,getawayHV1_2
ATSc11_3,MATSP15_4,getawayHV3_3
ATSc11_3,MATSP15_4,getawayHV4_2
ATSc11_3,MATSP15_4,getawayHm7_3
ATSc11_3,MATSP15_4,getawayREn1_7
ATSc11_3,MATSP15_4,getawayRmaxP7_2
ATSc11_3,MATSP15_4,k3_2
ATSc11_3,MATSP15_4,k_1
ATSc11_3,MATSP15_4,rho_1
ATSc11_3,MATSP15_4,rho_2
ATSc11_3,MATSc25_1,MATSm11_1
ATSc11_3,MATSc25_1,MATSm16_6
ATSc11_3,MATSc25_1,MoRSEV27_3
ATSc11_3,MATSc25_1,MoRSEc2_2
ATSc11_3,MATSc25_1,MoRSEm20_1
ATSc11_3,MATSc25_1,MoRSEm7_7
ATSc11_3,MATSc25_1,MoRSEu23_7
ATSc11_3,MATSc25_1,MoRSEu29_1
ATSc11_3,MATSc25_1,MoRSEu4_7
ATSc11_3,MATSc25_1,MoRSEu5_1
ATSc11_3,MATSc25_1,MolWt
ATSc11_3,MATSc25_1,PBFscore_1
ATSc11_3,MATSc25_1,PEOE_VSA5
ATSc11_3,MATSc25_1,PNSA3_1
ATSc11_3,MATSc25_1,RDFc14_6
ATSc11_3,MATSc25_1,RDFc17_4
ATSc11_3,MATSc25_1,RDFc5_1
ATSc11_3,MATSc25_1,VSA_EState8
ATSc11_3,MATSc25_1,WHIM_P3c_2
ATSc11_3,MATSc25_1,c_3
ATSc11_3,MATSc25_1,fr_Al_COO
ATSc11_3,MATSc25_1,fr_bicyclic
ATSc11_3,MATSc25_1,getawayHATSEn6_2
ATSc11_3,MATSc25_1,getawayHATSIP2_3
ATSc11_3,MATSc25_1,getawayHATSIP4_3
ATSc11_3,MATSc25_1,getawayHATSV8_2
ATSc11_3,MATSc25_1,getawayHATSc13_3
ATSc11_3,MATSc25_1,getawayHATSm8_1
ATSc11_3,MATSc25_1,getawayHTc_1
ATSc11_3,MATSc25_1,getawayHV1_2
ATSc11_3,MATSc25_1,getawayHV3_3
ATSc11_3,MATSc25_1,getawayHV4_2
ATSc11_3,MATSc25_1,getawayHm7_3
ATSc11_3,MATSc25_1,getawayREn1_7
ATSc11_3,MATSc25_1,getawayRmaxP7_2
ATSc11_3,MATSc25_1,k3_2
ATSc11_3,MATSc25_1,k_1
ATSc11_3,MATSc25_1,rho_1
ATSc11_3,MATSc25_1,rho_2
ATSc11_3,MATSm11_1,MATSm16_6
ATSc11_3,MATSm11_1,MoRSEV27_3
ATSc11_3,MATSm11_1,MoRSEc2_2
ATSc11_3,MATSm11_1,MoRSEm20_1
ATSc11_3,MATSm11_1,MoRSEm7_7
ATSc11_3,MATSm11_1,MoRSEu23_7
ATSc11_3,MATSm11_1,MoRSEu29_1
ATSc11_3,MATSm11_1,MoRSEu4_7
ATSc11_3,MATSm11_1,MoRSEu5_1
ATSc11_3,MATSm11_1,MolWt
ATSc11_3,MATSm11_1,PBFscore_1
ATSc11_3,MATSm11_1,PEOE_VSA5
ATSc11_3,MATSm11_1,PNSA3_1
ATSc11_3,MATSm11_1,RDFc14_6
ATSc11_3,MATSm11_1,RDFc17_4
ATSc11_3,MATSm11_1,RDFc5_1
ATSc11_3,MATSm11_1,VSA_EState8
ATSc11_3,MATSm11_1,WHIM_P3c_2
ATSc11_3,MATSm11_1,c_3
ATSc11_3,MATSm11_1,fr_Al_COO
ATSc11_3,MATSm11_1,fr_bicyclic
ATSc11_3,MATSm11_1,getawayHATSEn6_2
ATSc11_3,MATSm11_1,getawayHATSIP2_3
ATSc11_3,MATSm11_1,getawayHATSIP4_3
ATSc11_3,MATSm11_1,getawayHATSV8_2
ATSc11_3,MATSm11_1,getawayHATSc13_3
ATSc11_3,MATSm11_1,getawayHATSm8_1
ATSc11_3,MATSm11_1,getawayHTc_1
ATSc11_3,MATSm11_1,getawayHV1_2
ATSc11_3,MATSm11_1,getawayHV3_3
ATSc11_3,MATSm11_1,getawayHV4_2
ATSc11_3,MATSm11_1,getawayHm7_3
ATSc11_3,MATSm11_1,getawayREn1_7
ATSc11_3,MATSm11_1,getawayRmaxP7_2
ATSc11_3,MATSm11_1,k3_2
ATSc11_3,MATSm11_1,k_1
ATSc11_3,MATSm11_1,rho_1
ATSc11_3,MATSm11_1,rho_2
ATSc11_3,MATSm16_6,MoRSEV27_3
ATSc11_3,MATSm16_6,MoRSEc2_2
ATSc11_3,MATSm16_6,MoRSEm20_1
ATSc11_3,MATSm16_6,MoRSEm7_7
ATSc11_3,MATSm16_6,MoRSEu23_7
ATSc11_3,MATSm16_6,MoRSEu29_1
ATSc11_3,MATSm16_6,MoRSEu4_7
ATSc11_3,MATSm16_6,MoRSEu5_1
ATSc11_3,MATSm16_6,MolWt
ATSc11_3,MATSm16_6,PBFscore_1
ATSc11_3,MATSm16_6,PEOE_VSA5
ATSc11_3,MATSm16_6,PNSA3_1
ATSc11_3,MATSm16_6,RDFc14_6
ATSc11_3,MATSm16_6,RDFc17_4
ATSc11_3,MATSm16_6,RDFc5_1
ATSc11_3,MATSm16_6,VSA_EState8
ATSc11_3,MATSm16_6,WHIM_P3c_2
ATSc11_3,MATSm16_6,c_3
ATSc11_3,MATSm16_6,fr_Al_COO
ATSc11_3,MATSm16_6,fr_bicyclic
ATSc11_3,MATSm16_6,getawayHATSEn6_2
ATSc11_3,MATSm16_6,getawayHATSIP2_3
ATSc11_3,MATSm16_6,getawayHATSIP4_3
ATSc11_3,MATSm16_6,getawayHATSV8_2
ATSc11_3,MATSm16_6,getawayHATSc13_3
ATSc11_3,MATSm16_6,getawayHATSm8_1
ATSc11_3,MATSm16_6,getawayHTc_1
ATSc11_3,MATSm16_6,getawayHV1_2
ATSc11_3,MATSm16_6,getawayHV3_3
ATSc11_3,MATSm16_6,getawayHV4_2
ATSc11_3,MATSm16_6,getawayHm7_3
ATSc11_3,MATSm16_6,getawayREn1_7
ATSc11_3,MATSm16_6,getawayRmaxP7_2
ATSc11_3,MATSm16_6,k3_2
ATSc11_3,MATSm16_6,k_1
ATSc11_3,MATSm16_6,rho_1
ATSc11_3,MATSm16_6,rho_2
ATSc11_3,MoRSEV27_3,MoRSEc2_2
ATSc11_3,MoRSEV27_3,MoRSEm20_1
ATSc11_3,MoRSEV27_3,MoRSEm7_7
ATSc11_3,MoRSEV27_3,MoRSEu23_7
ATSc11_3,MoRSEV27_3,MoRSEu29_1
ATSc11_3,MoRSEV27_3,MoRSEu4_7
ATSc11_3,MoRSEV27_3,MoRSEu5_1
ATSc11_3,MoRSEV27_3,MolWt
ATSc11_3,MoRSEV27_3,PBFscore_1
ATSc11_3,MoRSEV27_3,PEOE_VSA5
ATSc11_3,MoRSEV27_3,PNSA3_1
