SMILES,LowerTempLimit[K],UpperTempLimit[K],TemperatureRange[K],A_antione,B_antione,C_antione,URL,EvaluationTemperature[K],VaporPress[Pa],VP2_LOGPA,smiles,group,group_plot,VP_LOGPA
C=C1CCC2CC1C2(C)C,291.86,439.06,147.2,3.94631,1465.029,-67.626,https://webbook.nist.gov/cgi/cbook.cgi?ID=C127913&Units=SI&Mask=4,387,22862.34036,4.359120686,C=C1CCC2CC1C2(C)C,training,Train,4.359120686
CCc1ccccc1C,354.3,439.32,85.02,4.12804,1535.374,-65.8,https://webbook.nist.gov/cgi/cbook.cgi?ID=C611143&Units=SI&Mask=4,387,22280.33383,4.347921694,CCc1ccccc1C,training,Train,4.347921694
Cc1cc(C)cc(C)c1,354.64,438.87,84.23,4.19927,1569.622,-63.572,https://webbook.nist.gov/cgi/cbook.cgi?ID=C108678&Units=SI&Mask=4,387,22191.66414,4.346189871,Cc1cc(C)cc(C)c1,training,Train,4.346189871
CC(C)COCCO,344.5,432,87.5,4.73287,1766.888,-59.128,https://webbook.nist.gov/cgi/cbook.cgi?ID=C4439241&Units=SI&Mask=4,387,22075.64157,4.343913334,CC(C)COCCO,training,Train,4.343913334
CCCCCCO,325.4,430.5,105.1,4.41271,1422.031,-107.706,https://webbook.nist.gov/cgi/cbook.cgi?ID=C111273&Units=SI&Mask=4,387,20950.28585,4.321189953,CCCCCCO,training,Train,4.321189953
C=C(C)c1ccccc1,280.6,438.6,158,5.21967,2326.867,7.23,https://webbook.nist.gov/cgi/cbook.cgi?ID=C98839&Units=SI&Mask=4,387,20766.42332,4.317361703,C=C(C)c1ccccc1,training,Train,4.317361703
CC(C)(C)c1ccccc1,357.03,443.31,86.28,4.0454,1504.572,-69.822,https://webbook.nist.gov/cgi/cbook.cgi?ID=C98066&Units=SI&Mask=4,387,20034.55491,4.301779698,CC(C)(C)c1ccccc1,training,Train,4.301779698
CCC(=O)OC(=O)CC,340.7,440,99.3,3.23076,949.198,-145.898,https://webbook.nist.gov/cgi/cbook.cgi?ID=C123626&Units=SI&Mask=4,387,19671.85584,4.293845333,CCC(=O)OC(=O)CC,training,Train,4.293845333
Cc1ccc(C)c(C)c1,358,443.53,85.53,4.16873,1573.267,-64.586,https://webbook.nist.gov/cgi/cbook.cgi?ID=C95636&Units=SI&Mask=4,387,19457.25065,4.289081474,Cc1ccc(C)c(C)c1,training,Train,4.289081474
CC(C)(C)C1CCCCC1,357.18,445.82,88.64,3.97939,1500.118,-67.227,https://webbook.nist.gov/cgi/cbook.cgi?ID=C3178221&Units=SI&Mask=4,387,19417.5053,4.288193432,CC(C)(C)C1CCCCC1,training,Train,4.288193432
OC1CCCCC1,366.88,433.9,67.02,3.08077,777.363,-182.037,https://webbook.nist.gov/cgi/cbook.cgi?ID=C108930&Units=SI&Mask=4,387,19412.02446,4.28807083,OC1CCCCC1,training,Train,4.28807083
CC(C)CC1CCCCC1,357.9,445.54,87.64,3.99193,1492.462,-70.065,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1678984&Units=SI&Mask=4,387,19181.49282,4.282882403,CC(C)CC1CCCCC1,training,Train,4.282882403
CC(C)CCOC(=O)C(C)C,287.9,442,154.1,4.6188,1848.636,-41.246,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2050013&Units=SI&Mask=4,387,18711.99059,4.272119991,CC(C)CCOC(=O)C(C)C,training,Train,4.272119991
C=Cc1cccc(C)c1,340.8,442.3,101.5,4.21774,1584.496,-66.922,https://webbook.nist.gov/cgi/cbook.cgi?ID=C100801&Units=SI&Mask=4,387,18509.58349,4.267396646,C=Cc1cccc(C)c1,training,Train,4.267396646
C=CCCCCCCCC,359.92,444.8,84.88,4.08526,1501.872,-75.572,https://webbook.nist.gov/cgi/cbook.cgi?ID=C872059&Units=SI&Mask=4,387,18311.6037,4.262726381,C=CCCCCCCCC,training,Train,4.262726381
CC(C)COC(=O)CC(C)C,289,441.9,152.9,4.6985,1886.088,-40.071,https://webbook.nist.gov/cgi/cbook.cgi?ID=C589593&Units=SI&Mask=4,387,18279.9719,4.261975524,CC(C)COC(=O)CC(C)C,valid,Val.,4.261975524
C=Cc1ccc(C)cc1,341.8,443,101.2,4.10881,1517.281,-74.304,https://webbook.nist.gov/cgi/cbook.cgi?ID=C622979&Units=SI&Mask=4,387,18053.19757,4.256554135,C=Cc1ccc(C)cc1,training,Train,4.256554135
CC(C)Cc1ccccc1,359.79,446.96,87.17,4.05523,1526.384,-68.979,https://webbook.nist.gov/cgi/cbook.cgi?ID=C538932&Units=SI&Mask=4,387,18013.46547,4.255597271,CC(C)Cc1ccccc1,training,Train,4.255597271
C=CC(=C)CCC=C(C)C,287.7,444.7,157,4.56112,1849.102,-38.899,https://webbook.nist.gov/cgi/cbook.cgi?ID=C123353&Units=SI&Mask=4,387,17748.0318,4.249150198,C=CC(=C)CCC=C(C)C,training,Train,4.249150198
CCC(C)c1ccccc1,360.27,447.51,87.24,4.07587,1540.174,-68.049,https://webbook.nist.gov/cgi/cbook.cgi?ID=C135988&Units=SI&Mask=4,387,17660.23992,4.246996599,CCC(C)c1ccccc1,training,Train,4.246996599
